run_name,condition,seed,variant,checkpoint,loss,lm_loss,gate_rate,gate_prob_mean,memory_residual_scale,contrastive_loss,rt_gate_loss,blimp_accuracy,syntaxgym_accuracy,fillergap_accuracy,naturalstories_n,naturalstories_delta_r2_gate,naturalstories_delta_r2_gate_matched_surprisal,naturalstories_delta_r2_gate_flexible_surprisal,naturalstories_cv_by_story_delta_r2_gate,naturalstories_cv_by_story_delta_r2_gate_flexible_surprisal,naturalstories_gate_r2_from_basic_controls,naturalstories_gate_r2_from_matched_controls,naturalstories_gate_r2_from_flexible_controls,naturalstories_token_metrics
babylm_10m_v7_publishable_no_aux_s23,no_aux,23,etb,outputs/baselines/babylm_10m_v7_publishable_no_aux_s23/etb/checkpoint-final,3.008924961090088,2.9635250568389893,0.14785991609096527,0.20227175951004028,0.009179138578474522,0.0,0.0,0.5995522388059702,0.2986111111111111,0.4725,2003,8.349849285349542e-05,8.104313445045364e-05,5.260314494992535e-06,-0.004482326673013071,-0.002272185125872239,0.011489398807966178,0.011206296020263906,0.020877552088216955,outputs/baselines/babylm_10m_v7_publishable_no_aux_s23/etb/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_no_contrastive_s23,no_contrastive,23,etb,outputs/baselines/babylm_10m_v7_publishable_no_contrastive_s23/etb/checkpoint-final,3.008924961090088,2.9635250568389893,0.14785991609096527,0.20227175951004028,0.009179138578474522,0.0,0.0,0.5995522388059702,0.2986111111111111,0.4725,2003,8.349849285349542e-05,8.104313445045364e-05,5.260314494992535e-06,-0.004482326673013071,-0.002272185125872239,0.011489398807966178,0.011206296020263906,0.020877552088216955,outputs/baselines/babylm_10m_v7_publishable_no_contrastive_s23/etb/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_rt_supervised_upper_bound_s23,rt_supervised_upper_bound,23,etb,outputs/baselines/babylm_10m_v7_publishable_rt_supervised_upper_bound_s23/etb/checkpoint-final,3.318624258041382,3.2487986087799072,0.14785991609096527,0.2464955896139145,0.06598510593175888,0.30681636929512024,0.04449779540300369,0.8950746268656716,0.7013888888888888,0.991875,2003,0.00953107921581875,0.009442793172857011,0.008678596494219426,0.008471163440837981,0.0063906818642052166,0.02518799992789733,0.02530913505983412,0.09821037012819356,outputs/baselines/babylm_10m_v7_publishable_rt_supervised_upper_bound_s23/etb/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_rt_supervised_upper_bound_s29,rt_supervised_upper_bound,29,etb,outputs/baselines/babylm_10m_v7_publishable_rt_supervised_upper_bound_s29/etb/checkpoint-final,2.997950792312622,2.949660539627075,0.14785991609096527,0.26623350381851196,0.09258325397968292,0.0037690659519284964,0.03269856050610542,0.9316417910447761,0.8472222222222222,0.99625,2003,0.015826789155386267,0.015560216652935943,0.01403498519966817,0.020625949788509068,0.020835277104754968,0.01287830608707019,0.012950326953092062,0.05357823046218957,outputs/baselines/babylm_10m_v7_publishable_rt_supervised_upper_bound_s29/etb/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_rt_supervised_upper_bound_s31,rt_supervised_upper_bound,31,etb,outputs/baselines/babylm_10m_v7_publishable_rt_supervised_upper_bound_s31/etb/checkpoint-final,3.8075215816497803,3.6884055137634277,0.14785991609096527,0.45252400636672974,0.0861932635307312,0.2936354875564575,0.07794692367315292,0.9002985074626866,0.6458333333333334,0.983125,2003,0.011498484023692468,0.011330658136885052,0.010486204313082115,0.012916306190964288,0.10747215318811687,0.06625755434559955,0.06665656589247226,0.13887118899766226,outputs/baselines/babylm_10m_v7_publishable_rt_supervised_upper_bound_s31/etb/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s23,main,23,anira_emergent,outputs/baselines/babylm_10m_v7_publishable_s23/anira_emergent/checkpoint-final,2.9969096183776855,2.972109794616699,0.14785991609096527,0.996100902557373,0.004533595405519009,0.29749926924705505,0.0,0.9359701492537313,0.8368055555555556,0.998125,2003,0.0023539387949581547,0.0023540472892957798,0.002923680949459384,0.003041250112530869,0.0027136692158553632,0.09474724054312933,0.09474852676056789,0.15880324506007737,outputs/baselines/babylm_10m_v7_publishable_s23/anira_emergent/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s23,main,23,cheap_only,outputs/baselines/babylm_10m_v7_publishable_s23/cheap_only/checkpoint-final,3.022341251373291,2.988778591156006,0.0,0.0,0.05000000074505806,0.4139106273651123,0.0,0.9336567164179105,0.8541666666666666,0.998125,2003,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,outputs/baselines/babylm_10m_v7_publishable_s23/cheap_only/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s23,main,23,dense_gru,outputs/baselines/babylm_10m_v7_publishable_s23/dense_gru/checkpoint-final,2.705003023147583,2.6981256008148193,0.0,0.0,0.05000000074505806,0.08034473657608032,0.0,0.9347014925373134,0.8472222222222222,0.998125,2003,0.0,0.0,1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,outputs/baselines/babylm_10m_v7_publishable_s23/dense_gru/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s23,main,23,etb,outputs/baselines/babylm_10m_v7_publishable_s23/etb/checkpoint-final,3.7312583923339844,3.503845691680908,0.14785991609096527,0.23934926092624664,0.05890155956149101,0.390608012676239,0.0,0.8949253731343284,0.7326388888888888,0.981875,2003,0.001522615596261656,0.0014916580764686715,0.0012030085992718043,0.003592928647316418,0.0036786744170462793,0.15424324314707194,0.1543684070637802,0.23712751470678495,outputs/baselines/babylm_10m_v7_publishable_s23/etb/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s23,main,23,generic_dynamic,outputs/baselines/babylm_10m_v7_publishable_s23/generic_dynamic/checkpoint-final,2.987433433532715,2.962756633758545,0.14785991609096527,0.4985562860965729,0.030085694044828415,0.30220577120780945,0.0,0.9335074626865671,0.84375,0.995625,2003,0.002118163260821926,0.0020975074694434825,0.0031826458745672914,0.0012549547651177217,0.0026541985101843357,0.2703066908176067,0.27037248507628386,0.28845703022086466,outputs/baselines/babylm_10m_v7_publishable_s23/generic_dynamic/eval/naturalstories_token_metrics.csv
