seed,baseline,etb_blimp_accuracy,baseline_blimp_accuracy,etb_minus_baseline_blimp_accuracy,etb_syntaxgym_accuracy,baseline_syntaxgym_accuracy,etb_minus_baseline_syntaxgym_accuracy,etb_fillergap_accuracy,baseline_fillergap_accuracy,etb_minus_baseline_fillergap_accuracy,etb_naturalstories_delta_r2_gate,baseline_naturalstories_delta_r2_gate,etb_minus_baseline_naturalstories_delta_r2_gate,etb_naturalstories_delta_r2_gate_matched_surprisal,baseline_naturalstories_delta_r2_gate_matched_surprisal,etb_minus_baseline_naturalstories_delta_r2_gate_matched_surprisal,etb_naturalstories_delta_r2_gate_flexible_surprisal,baseline_naturalstories_delta_r2_gate_flexible_surprisal,etb_minus_baseline_naturalstories_delta_r2_gate_flexible_surprisal,etb_naturalstories_cv_by_story_delta_r2_gate_flexible_surprisal,baseline_naturalstories_cv_by_story_delta_r2_gate_flexible_surprisal,etb_minus_baseline_naturalstories_cv_by_story_delta_r2_gate_flexible_surprisal
23,anira_emergent,0.8949253731343284,0.9359701492537313,-0.04104477611940294,0.7326388888888888,0.8368055555555556,-0.10416666666666674,0.981875,0.998125,-0.016249999999999987,0.001522615596261656,0.0023539387949581547,-0.0008313231986964986,0.0014916580764686715,0.0023540472892957798,-0.0008623892128271082,0.0012030085992718043,0.002923680949459384,-0.0017206723501875798,0.0036786744170462793,0.0027136692158553632,0.000965005201190916
23,cheap_only,0.8949253731343284,0.9336567164179105,-0.038731343283582076,0.7326388888888888,0.8541666666666666,-0.12152777777777779,0.981875,0.998125,-0.016249999999999987,0.001522615596261656,0.0,0.001522615596261656,0.0014916580764686715,0.0,0.0014916580764686715,0.0012030085992718043,0.0,0.0012030085992718043,0.0036786744170462793,1.1102230246251565e-16,0.0036786744170461683
23,dense_gru,0.8949253731343284,0.9347014925373134,-0.03977611940298498,0.7326388888888888,0.8472222222222222,-0.11458333333333337,0.981875,0.998125,-0.016249999999999987,0.001522615596261656,0.0,0.001522615596261656,0.0014916580764686715,0.0,0.0014916580764686715,0.0012030085992718043,1.1102230246251565e-16,0.0012030085992716932,0.0036786744170462793,-1.1102230246251565e-16,0.0036786744170463903
23,generic_dynamic,0.8949253731343284,0.9335074626865671,-0.03858208955223874,0.7326388888888888,0.84375,-0.11111111111111116,0.981875,0.995625,-0.013749999999999929,0.001522615596261656,0.002118163260821926,-0.0005955476645602698,0.0014916580764686715,0.0020975074694434825,-0.000605849392974811,0.0012030085992718043,0.0031826458745672914,-0.001979637275295487,0.0036786744170462793,0.0026541985101843357,0.0010244759068619436
23,punctuation_only,0.8949253731343284,0.9348507462686567,-0.03992537313432831,0.7326388888888888,0.8402777777777778,-0.10763888888888895,0.981875,0.998125,-0.016249999999999987,0.001522615596261656,0.009199955787249747,-0.007677340190988091,0.0014916580764686715,0.00906019793694246,-0.007568539860473789,0.0012030085992718043,0.009476536815026138,-0.008273528215754333,0.0036786744170462793,0.006109333175337017,-0.002430658758290738
23,random_matched,0.8949253731343284,0.9325373134328359,-0.03761194029850745,0.7326388888888888,0.8368055555555556,-0.10416666666666674,0.981875,1.0,-0.018124999999999947,0.001522615596261656,0.0,0.001522615596261656,0.0014916580764686715,0.0,0.0014916580764686715,0.0012030085992718043,0.0,0.0012030085992718043,0.0036786744170462793,3.774758283725532e-15,0.0036786744170425045
29,anira_emergent,0.9245522388059702,0.9280597014925374,-0.0035074626865672087,0.7847222222222222,0.8368055555555556,-0.05208333333333337,0.99625,0.99625,0.0,0.00431819431039826,0.00021992373693902056,0.0040982705734592395,0.004207780391254801,0.00022020352349227945,0.003987576867762521,0.004681539317880734,0.00037688348062669963,0.0043046558372540344,0.008755228681773364,-0.002016639162436107,0.01077186784420947
29,cheap_only,0.9245522388059702,0.9326119402985075,-0.008059701492537319,0.7847222222222222,0.8541666666666666,-0.06944444444444442,0.99625,0.998125,-0.001875000000000071,0.00431819431039826,0.0,0.00431819431039826,0.004207780391254801,0.0,0.004207780391254801,0.004681539317880734,0.0,0.004681539317880734,0.008755228681773364,-2.220446049250313e-16,0.008755228681773586
29,dense_gru,0.9245522388059702,0.9357462686567164,-0.011194029850746245,0.7847222222222222,0.8472222222222222,-0.0625,0.99625,0.9975,-0.0012500000000000844,0.00431819431039826,0.0,0.00431819431039826,0.004207780391254801,0.0,0.004207780391254801,0.004681539317880734,1.1102230246251565e-16,0.004681539317880623,0.008755228681773364,0.0,0.008755228681773364
29,generic_dynamic,0.9245522388059702,0.9355223880597014,-0.010970149253731298,0.7847222222222222,0.8368055555555556,-0.05208333333333337,0.99625,0.99625,0.0,0.00431819431039826,0.0019592747884507045,0.0023589195219475556,0.004207780391254801,0.0019385834425337256,0.002269196948721075,0.004681539317880734,0.0029098045501531056,0.0017717347677276285,0.008755228681773364,0.001511058825123035,0.007244169856650329
