run_name,condition,seed,variant,observed_delta_r2_flexible,bootstrap_repeats,permutation_repeats,bootstrap_mean,bootstrap_ci95_low,bootstrap_ci95_high,permutation_null_mean,permutation_null_ci95_low,permutation_null_ci95_high,permutation_p_one_sided
babylm_10m_v7_publishable_no_aux_s23,no_aux,23,etb,5.260314494992535e-06,1000,1000,0.00046775420068345474,5.55542119923258e-07,0.0022403878268697688,0.00046965054417867245,6.412545347306287e-07,0.00237240244114549,0.9270729270729271
babylm_10m_v7_publishable_no_contrastive_s23,no_contrastive,23,etb,5.260314494992535e-06,1000,1000,0.0005053139845051399,4.480403271917013e-07,0.0024737138387577644,0.00046502179489685323,4.34618878653037e-07,0.0024483364718257904,0.9070929070929071
babylm_10m_v7_publishable_rt_supervised_upper_bound_s23,rt_supervised_upper_bound,23,etb,0.008678596494219537,1000,1000,0.009827189719186539,0.0016414868805861404,0.022894508549014266,0.00045497465586097905,5.680646395583856e-07,0.0024532946280331727,0.000999000999000999
babylm_10m_v7_publishable_rt_supervised_upper_bound_s29,rt_supervised_upper_bound,29,etb,0.014034985199668282,1000,1000,0.014558065718384512,0.004753419768479006,0.028644864020449908,0.0005182308074767974,3.2615868442997806e-07,0.0027565284597651815,0.000999000999000999
babylm_10m_v7_publishable_rt_supervised_upper_bound_s31,rt_supervised_upper_bound,31,etb,0.010486204313082115,1000,1000,0.010925008678506454,0.002738895915303988,0.023054640444909465,0.0005395134877083001,3.331828648089896e-07,0.0026297530286451846,0.000999000999000999
babylm_10m_v7_publishable_s23,main,23,anira_emergent,0.002923680949473151,1000,1000,0.0034087567323482803,0.00012326801257889208,0.010057551207043821,0.00040353648071185543,3.9739609666855635e-07,0.0021526014957175222,0.015984015984015984
babylm_10m_v7_publishable_s23,main,23,cheap_only,0.0,1000,1000,2.220446049250313e-19,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,1.0
babylm_10m_v7_publishable_s23,main,23,dense_gru,0.0,1000,1000,2.220446049250313e-19,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,1.0
babylm_10m_v7_publishable_s23,main,23,etb,0.0012030085992719153,1000,1000,0.0018027055720569824,7.6044668486180425e-06,0.006437982513473616,0.0005822188178874565,4.5028956567327864e-07,0.0028702006744856816,0.15884115884115885
babylm_10m_v7_publishable_s23,main,23,generic_dynamic,0.0031826458745668473,1000,1000,0.0040527650556685104,0.00014339297118725616,0.01104984321384475,0.00042556908947049963,5.209984050430494e-07,0.0021463127542883007,0.004995004995004995
babylm_10m_v7_publishable_s23,main,23,punctuation_only,0.009476536815026249,1000,1000,0.010757290256710522,0.0013978878868044415,0.025859975237851364,0.0004654206705668046,9.251969242396464e-07,0.0022930746879140196,0.000999000999000999
babylm_10m_v7_publishable_s23,main,23,random_matched,0.0,1000,1000,-2.220446049250313e-19,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,1.0
babylm_10m_v7_publishable_s29,main,29,anira_emergent,0.0003768834806269217,1000,1000,0.0009486048152849945,1.5097293885574237e-06,0.004351957307970051,0.00047512507434542285,8.601595429508225e-07,0.002372543082954506,0.36663336663336665
babylm_10m_v7_publishable_s29,main,29,cheap_only,0.0,1000,1000,5.551115123125783e-19,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,1.0
babylm_10m_v7_publishable_s29,main,29,dense_gru,0.0,1000,1000,-2.55351295663786e-18,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,1.0
babylm_10m_v7_publishable_s29,main,29,etb,0.004681539317880623,1000,1000,0.005302470145351659,0.0004483722691427106,0.014397387579494686,0.00047198778106579466,4.4871073347496627e-07,0.0023852532522626617,0.001998001998001998
babylm_10m_v7_publishable_s29,main,29,generic_dynamic,0.0029098045501534386,1000,1000,0.0038209798080686436,7.106878623699133e-05,0.010937915545912008,0.00045809731484634065,4.054621789290058e-07,0.002222247902166238,0.01098901098901099
babylm_10m_v7_publishable_s29,main,29,punctuation_only,0.010498187009300386,1000,1000,0.011952800379293404,0.0018007500006278156,0.026246338257163066,0.0004579219104033093,6.009840646470366e-07,0.0022838412345584863,0.000999000999000999
babylm_10m_v7_publishable_s29,main,29,random_matched,1.1102230246251565e-16,1000,1000,2.220446049250313e-19,-2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0
babylm_10m_v7_publishable_s31,main,31,etb,0.0079033080791171,1000,1000,0.008999515989214016,0.0010511701093860071,0.02256281406030155,0.0004764852367034401,7.151946530559174e-07,0.0022647265326168316,0.000999000999000999
babylm_10m_v7_publishable_s31,main,31,generic_dynamic,0.004022081359911667,1000,1000,0.004731640109924625,0.0002827169449332728,0.012736374829827394,0.0004438950333765508,6.708164152879893e-07,0.0021102499533991177,0.000999000999000999
babylm_10m_v7_publishable_s31,main,31,punctuation_only,0.009622365297255686,1000,1000,0.010743711823917625,0.001512118050350736,0.02571466200689654,0.00045807154305430454,5.035803981895404e-07,0.002242115448223966,0.000999000999000999
